user_id,products,reviews
11739153,81,1
11739604,310,1
11742361,64,1
11745089,108,1
11746598,20,1
11752244,335,2
11761374,266,1
11762689,213,2
11762730,610,36
11765190,88,2
11772346,511,9
11817648,51,1
11818306,125,1
11825531,109,1
11855235,218,1
11882924,236,18
11946463,879,2
11949722,109,1
11977656,216,1
12001597,148,1
12055547,457,1
12097803,117,5
12109246,12,1
12123664,194,9
12191774,290,1
12200425,376,1
12204202,131,2
12229277,257,1
12244165,382,1
12258275,1014,4
12279252,347,2
12302164,304,4
12319947,516,1
12333171,258,2
12345139,789,4
12364977,82,1
12369721,244,0
12425759,257,13
12443703,159,1
12447998,61,1
12508313,41,3
12511995,218,3
12533177,34,1
12585903,93,1
12629076,324,2
12633022,222,1
12642705,130,1
12653629,336,1
12655834,74,1
12659194,1632,10
12669535,91,2
12673814,678,1
12674349,111,1
12686039,331,7
12694455,229,3
12695666,791,3
12745139,263,1
12758407,288,0
12765353,31,1
12797994,638,5
12822189,192,1
12842005,523,24
12842175,509,1
12882859,147,2
12978048,189,1
12984640,1704,10
13000707,200,2
13001300,223,2
13036044,86,1
13058730,80,2
13061540,490,1
13064767,191,3
13072346,428,2
13099664,125,2
13111924,168,1
13147030,354,3
13216879,116,1
13239449,1727,1
13285052,291,3
13288757,191,7
13321065,160,1
13331658,183,1
13337968,50,1
13358377,125,2
13362423,243,3
13366169,99,0
13392117,448,1
13394866,451,1
13398909,213,1
13407588,106,1
13408148,1353,7
13436079,202,2
13437301,29,1
13446932,207,2
13452200,419,6
13453570,450,1
13458806,58,2
13461034,243,2
13473847,29,1
13477518,278,2
13506656,405,4
13514834,242,2
13522350,106,1
13574769,3403,1
13592498,126,1
13595521,94,5
13603580,232,6
13608787,55,1
13609952,49,0
13622460,176,1
13622502,307,5
13625134,170,14
13630594,159,1
13641658,68,1
13642055,905,4
13657917,189,1
13668750,272,1
13671643,239,2
13674415,266,66
13686391,1068,1
13689177,200,2
13695688,147,4
13698012,208,2
13711298,94,1
13729813,309,1
13739526,83,1
13748541,159,1
13750076,59,3
13764282,195,1
13766646,502,1
13774587,37,1
13785641,581,5
843,189,1
2113,135,10
30794,1352,4
48489,502,92
48960,261,3
58994,118,2
67068,249,0
77172,113,1
82179,171,2
92208,268,1
97620,247,1
101152,336,2
104196,215,1
108916,31,1
109537,197,1
121338,258,3
129972,421,1
136589,115,1
140472,59,1
144648,85,1
147798,241,2
153695,264,1
155294,83,5
160593,106,2
163822,532,1
170732,346,5
183544,112,1
192718,608,2
194368,623,1
195346,855,1
199265,770,1
200386,692,1
204816,251,2
214514,1376,1
214633,618,9
219270,95,1
222193,737,2
231931,273,3
236064,814,2
236086,190,1
250091,320,7
254580,57,1
267934,327,1
273703,99,3
278221,517,3
283287,21,1
286995,355,1
