user_id,products,reviews
9072893,202,1
419068,17,1
8368589,18,1
9859593,48,2
9105936,0,1
9143227,9,1
3006586,71,1
6010674,116,2
9335079,41,3
11517796,261,1
1609616,7,1
12650025,66,1
11930761,17,1
12737777,17,2
7004657,71,2
7449886,13,2
8005862,460,8
4888933,273,1
7871795,15,1
11185130,157,1
7780874,35,1
249974,47,1
12170655,27,3
12833973,23,3
6943253,48,1
6199818,258,3
4522805,41,1
4040358,187,4
9318869,362,1
4259413,51,1
238468,772,24
10239303,115,2
10289325,33,1
10058105,143,9
344543,26,2
3810342,4,0
8488726,27,1
4183768,73,1
7352577,460,2
4972422,54,1
7441190,154,21
2813597,25,1
1705036,139,1
3409504,159,2
6482889,168,3
5539296,45,2
280721,35,5
11271629,81,1
2987686,10,1
7497862,102,3
2601755,19,4
2473883,7,3
2063279,17,1
12132363,85,1
7790671,62,3
9780359,106,2
6190849,112,11
8049081,30,1
4403832,98,1
13187771,29,1
4959926,220,3
1330308,58,3
158508,121,24
6463635,35,1
3564389,2,1
12993615,274,6
5782833,23,1
6292591,64,1
1506104,163,1
10563260,3,1
7606110,20,1
12280402,0,1
5327587,10,1
5491461,226,20
3732585,40,1
2639141,10,1
12416231,347,1
7891410,18,1
4097211,2287,10
5578740,145,1
13280597,25,1
10373976,215,17
646524,20,5
2765793,18,1
6993545,14,1
10561092,10,1
7880893,20,4
7287898,81,1
972427,50,1
3974564,35,12
5916938,168,1
424812,0,1
3851370,105,0
12813987,22,1
2760447,290,5
13405251,76,3
510805,15,1
6530577,1327,1
2916469,21,2
4941466,826,4
9412954,49,1
5426023,366,3
12959029,48,1
7900261,8,1
387227,55,2
6829097,88,1
13697940,73,1
838358,147,12
4810601,98,1
12066380,201,3
11009373,238,1
9215038,62,1
10118598,19,3
10955190,61,0
8054847,339,15
11445183,322,7
3619119,11,2
5205395,12,1
8113543,50,6
4511219,330,3
7081543,58,1
6956503,45,1
12206065,325,2
461397,51,2
6636226,108,1
7130664,60,2
2619037,19,1
6394897,187,1
13691364,14,0
915899,3,0
13509343,214,1
13428916,1078,6
3396617,30,1
9169568,20,1
9803554,212,6
1683177,60,4
10249424,220,4
8974688,127,5
435416,29,1
1255387,33,1
8795965,19,1
6206903,27,1
7075862,111,2
6673010,98,1
118218,277,24
3326450,68,9
12952411,347,0
2361691,136,2
963340,19,1
1928910,302,12
6871719,140,1
7383436,23,2
6398603,363,25
6544910,38,1
4759523,25,1
9388851,39,1
1669737,20,4
5090658,32,2
5574429,16,1
6582956,163,6
5902025,309,3
5241354,108,2
11528600,166,3
10254370,11,1
13736408,8,2
3519421,24,1
10737952,74,4
913140,11,1
9753777,39,1
13426156,74,1
7884544,50,2
4871183,1338,34
1968259,161,7
3979765,60,1
737098,12,2
12213923,63,4
11385368,336,1
3772653,334,1
10673955,6,2
2675759,14,2
10668707,10,4
13404325,484,2
10779312,66,2
6850665,70,1
7672095,58,9
4481450,51,2
7591791,161,5
8732279,104,2
12765711,90,1
11791281,39,0
1314156,25,1
633022,169,1
10181954,31,2
6238239,43,1
11725734,67,1
9436486,345,1
9086315,127,4
2385224,220,6
8677651,39,2
6832555,8,1
4170959,42,4
4869898,111,1
2367394,259,11
3602046,96,4
11742443,67,7
11426283,184,1
10473204,28,2
12200044,54,2
12698241,38,3
8400509,17,1
11914958,99,1
11815548,80,7
13074738,268,6
12821032,6,1
8485742,148,7
9918646,9,1
8263369,70,0
11927224,737,3
5796778,53,3
4442183,24,1
12478066,67,2
5842949,74,1
692949,26,1
3323379,315,32
13627908,4,1
11186831,540,4
8168223,267,1
2858503,618,3
12000772,60,3
6948227,18,1
1925510,2,1
8293361,113,4
1378332,70,2
8806343,559,3
12167568,30,5
4994549,13,0
12543509,87,1
7192387,47,1
7592765,48,1
2263912,17,2
8751672,118,1
2527970,318,5
11177719,270,1
11551216,37,1
6559085,51,1
11808183,15,1
12213969,261,9
2966521,47,1
12374629,20,8
10251470,19,2
12661893,200,1
1730628,57,1
4156252,798,2
7670358,44,1
13121993,12,1
880663,25,3
12851472,129,1
5263192,85,1
12694786,51,1
4907177,42,8
12419151,9,2
4420106,53,4
5972314,0,1
5633362,146,1
302748,31,1
12030950,264,4
5926568,177,1
265964,19,1
351045,37,2
10787092,377,4
7566289,268,4
2010459,9,1
7718239,20,1
12841377,3,1
5324575,166,5
10226875,55,2
11919843,3,1
1650747,38,1
6212355,55,1
1566911,54,4
7797344,108,1
3000517,168,4
11109526,846,9
8986017,84,2
6013642,313,1
13057851,22,1
1680896,2,0
10906442,23,1
11687034,516,3
5321955,85,1
12559353,45,1
9741848,13,1
11516918,56,1
7002533,144,8
11373334,469,2
6110230,72,2
2330855,93,1
1075144,18,1
3184663,19,0
598027,41,1
11468678,247,1
8581147,5,2
8239059,96,7
11638917,213,4
9762425,33,3
13675165,163,8
3892911,96,1
11695321,125,1
10839439,89,3
5224475,405,18
1553079,42,1
765506,454,28
12084701,103,2
6073851,80,7
2816256,16,1
7276158,83,1
8519854,68,1
1240760,129,21
3498608,23,2
11109116,322,1
2841967,3,1
2578763,5,1
460370,610,3
7423126,59,3
13408323,39,1
3191339,12,1
8498251,110,1
6375960,85,1
8182197,14,1
1602543,18,2
1779522,6,1
12653307,264,1
12378229,2,1
3597743,18,2
8881760,60,2
5846188,55,1
9834738,59,6
4854622,46,2
7467218,396,3
5028583,131,1
10025000,831,1
11805997,76,3
12576819,70,4
1333373,3,1
5640641,29,1
1653185,79,1
9776648,43,1
121984,10,2
5618942,96,3
2415607,55,4
8306402,255,2
12295717,16,1
8018676,120,4
5491250,36,1
1286397,20,1
7146792,94,1
8578675,30,2
6401102,99,11
11094093,228,1
5979859,73,1
12966820,9,1
5516199,77,3
10937279,65,1
64321,11,1
11462213,1558,17
694215,71,20
9107559,119,8
4711647,20,1
3513043,25,1
8169277,367,20
13514840,7,1
1606862,73,1
13069436,17,1
13545555,63,1
8544074,27,1
8458651,66,1
13301025,15,1
